sampleID,well_id,carbon,cell_num,growth,biofilm,class
1,flowcyto_10_l03_F4,glutamic acid,10,0.5976,0.2498,HGLB
2,flowcyto_10_l02_F2,glutamic acid,10,0.5964,0.2148,HGLB
3,flowcyto_10_l02_G11,glutamic acid,10,0.5932,0.2298,HGLB
4,flowcyto_10_l01_G7,glutamic acid,10,0.576,0.2276,HGLB
5,flowcyto_10_l03_G6,glutamic acid,10,0.531,0.2075,HGLB
6,flowcyto_10_l04_G7,glutamic acid,10,0.5234,0.2241,HGLB
11,flowcyto_10_l02_C9,glutamic acid,10,0.4621,8.2401,HGHB
12,flowcyto_10_l02_B3,glutamic acid,10,0.4613,3.4077,HGHB
13,flowcyto_10_l04_E3,glutamic acid,10,0.4927,2.5669,HGHB
14,flowcyto_10_l05_C9,glutamic acid,10,0.529,1.9775,HGHB
15,flowcyto_10_l01_G3,glutamic acid,10,0.9244,0.5565,HGHB
16,flowcyto_10_l02_F11,glutamic acid,10,0.7058,0.5496,HGHB
21,flowcyto_10_l04_C3,glutamic acid,10,0.3386,3.8051,LGHB
22,flowcyto_10_l01_D11,glutamic acid,10,0.3908,3.457,LGHB
23,flowcyto_10_l04_D11,glutamic acid,10,0.2873,2.7972,LGHB
24,flowcyto_10_l02_D8,glutamic acid,10,0.3459,2.5198,LGHB
25,flowcyto_10_l04_B7,glutamic acid,10,0.3661,2.4928,LGHB
26,flowcyto_10_l02_C7,glutamic acid,10,0.2968,2.2879,LGHB
31,flowcyto_10_l01_F8,glutamic acid,10,0.1385,0.1848,LGLB
32,flowcyto_10_l03_B7,glutamic acid,10,0.2967,0.2483,LGLB
33,flowcyto_10_l01_D5,glutamic acid,10,0.2896,0.2283,LGLB
34,flowcyto_10_l04_C6,glutamic acid,10,0.2768,0.2637,LGLB
35,flowcyto_10_l03_C10,glutamic acid,10,0.2558,0.2005,LGLB
36,flowcyto_10_l03_F10,glutamic acid,10,0.2466,0.1999,LGLB
41,flowcyto_50_l10_F2,glutamic acid,50,0.6609,0.2919,HGLB
42,flowcyto_50_l07_G4,glutamic acid,50,0.6059,0.3214,HGLB
43,flowcyto_50_l07_F11,glutamic acid,50,0.6044,0.3263,HGLB
44,flowcyto_50_l10_G3,glutamic acid,50,0.5933,0.2361,HGLB
45,flowcyto_50_l06_B2,glutamic acid,50,0.5653,0.1917,HGLB
46,flowcyto_50_l08_G6,glutamic acid,50,0.5381,0.2149,HGLB
51,flowcyto_50_l09_G11,glutamic acid,50,0.701,2.0396,HGHB
52,flowcyto_50_l09_D11,glutamic acid,50,0.7007,0.6472,HGHB
53,flowcyto_50_l10_B10,glutamic acid,50,0.4786,1.7425,HGHB
54,flowcyto_50_l07_C3,glutamic acid,50,0.4544,1.6438,HGHB
55,flowcyto_50_l10_B9,glutamic acid,50,0.4836,1.1964,HGHB
56,flowcyto_50_l10_G11,glutamic acid,50,0.5748,0.717,HGHB
61,flowcyto_50_l09_E8,glutamic acid,50,0.3179,2.192,LGHB
62,flowcyto_50_l09_B8,glutamic acid,50,0.3529,0.9973,LGHB
63,flowcyto_50_l10_G5,glutamic acid,50,0.3698,1.3361,LGHB
64,flowcyto_50_l07_F10,glutamic acid,50,0.3765,1.2177,LGHB
65,flowcyto_50_l07_B6,glutamic acid,50,0.3523,1.1345,LGHB
66,flowcyto_50_l10_C8,glutamic acid,50,0.2844,0.6212,LGHB
71,flowcyto_50_l10_E3,glutamic acid,50,0.3219,0.228,LGLB
72,flowcyto_50_l07_D3,glutamic acid,50,0.3214,0.2765,LGLB
73,flowcyto_50_l10_F5,glutamic acid,50,0.3175,0.2347,LGLB
74,flowcyto_50_l10_C5,glutamic acid,50,0.2937,0.2795,LGLB
75,flowcyto_50_l06_D7,glutamic acid,50,0.2904,0.1787,LGLB
76,flowcyto_50_l06_F10,glutamic acid,50,0.2418,0.19,LGLB
81,flowcyto_100_l12_F2,glutamic acid,100,0.7076,0.3157,HGLB
82,flowcyto_100_l14_B2,glutamic acid,100,0.6133,0.3783,HGLB
83,flowcyto_100_l12_G9,glutamic acid,100,0.6089,0.3586,HGLB
84,flowcyto_100_l11_G8,glutamic acid,100,0.5851,0.3824,HGLB
85,flowcyto_100_l11_B3,glutamic acid,100,0.5681,0.3729,HGLB
86,flowcyto_100_l14_G2,glutamic acid,100,0.5497,0.2651,HGLB
91,flowcyto_100_l15_G2,glutamic acid,100,0.4535,3.4117,HGHB
92,flowcyto_100_l13_D2,glutamic acid,100,0.4335,1.7236,HGHB
93,flowcyto_100_l12_G5,glutamic acid,100,0.4694,2.3099,HGHB
94,flowcyto_100_l13_G7,glutamic acid,100,0.5027,2.0388,HGHB
95,flowcyto_100_l12_G10,glutamic acid,100,0.6764,1.0169,HGHB
96,flowcyto_100_l11_G2,glutamic acid,100,0.8185,0.6884,HGHB
101,flowcyto_100_l15_B2,glutamic acid,100,0.3422,7.0623,LGHB
102,flowcyto_100_l14_C10,glutamic acid,100,0.2214,2.0989,LGHB
