"well_id","carbon","cell_num","growth","biofilm","day","class","location"
"flowcyto_10_l03_F4","glutamic acid","10",0.5976,0.2498,"14","HGLB","inside"
"flowcyto_10_l02_F2","glutamic acid","10",0.5964,0.2148,"14","HGLB","inside"
"flowcyto_10_l02_G11","glutamic acid","10",0.5932,0.2298,"14","HGLB","inside"
"flowcyto_10_l01_G7","glutamic acid","10",0.576,0.2276,"14","HGLB","inside"
"flowcyto_10_l03_G6","glutamic acid","10",0.531,0.2075,"14","HGLB","inside"
"flowcyto_10_l04_G7","glutamic acid","10",0.5234,0.2241,"14","HGLB","inside"
"flowcyto_10_l01_H2","glutamic acid","10",0.7045,0.2013,"14","HGLB","edge"
"flowcyto_10_l02_H1","glutamic acid","10",1.155,0.3074,"14","HGLB","edge"
"flowcyto_10_l02_G1","glutamic acid","10",0.8253,0.2959,"14","HGLB","edge"
"flowcyto_10_l02_A2","glutamic acid","10",0.709,0.2199,"14","HGLB","edge"
"flowcyto_10_l02_C9","glutamic acid","10",0.4621,8.2401,"14","HGHB","inside"
"flowcyto_10_l02_B3","glutamic acid","10",0.4613,3.4077,"14","HGHB","inside"
"flowcyto_10_l04_E3","glutamic acid","10",0.4927,2.5669,"14","HGHB","inside"
"flowcyto_10_l05_C9","glutamic acid","10",0.529,1.9775,"14","HGHB","inside"
"flowcyto_10_l01_G3","glutamic acid","10",0.9244,0.5565,"14","HGHB","inside"
"flowcyto_10_l02_F11","glutamic acid","10",0.7058,0.5496,"14","HGHB","inside"
"flowcyto_10_l01_A2","glutamic acid","10",0.7161,1.6997,"14","HGHB","edge"
"flowcyto_10_l03_H8","glutamic acid","10",1.0548,2.1486,"14","HGHB","edge"
"flowcyto_10_l03_H1","glutamic acid","10",0.8153,1.3146,"14","HGHB","edge"
"flowcyto_10_l04_D1","glutamic acid","10",0.8454,1.2311,"14","HGHB","edge"
"flowcyto_10_l04_C3","glutamic acid","10",0.3386,3.8051,"14","LGHB","inside"
"flowcyto_10_l01_D11","glutamic acid","10",0.3908,3.457,"14","LGHB","inside"
"flowcyto_10_l04_D11","glutamic acid","10",0.2873,2.7972,"14","LGHB","inside"
"flowcyto_10_l02_D8","glutamic acid","10",0.3459,2.5198,"14","LGHB","inside"
"flowcyto_10_l04_B7","glutamic acid","10",0.3661,2.4928,"14","LGHB","inside"
"flowcyto_10_l02_C7","glutamic acid","10",0.2968,2.2879,"14","LGHB","inside"
"flowcyto_10_l04_H8","glutamic acid","10",0.4809,1.6704,"14","LGHB","edge"
"flowcyto_10_l02_H11","glutamic acid","10",0.4641,3.4578,"14","LGHB","edge"
"flowcyto_10_l02_A4","glutamic acid","10",0.4528,2.369,"14","LGHB","edge"
"flowcyto_10_l04_B12","glutamic acid","10",0.3923,1.715,"14","LGHB","edge"
"flowcyto_10_l01_F8","glutamic acid","10",0.1385,0.1848,"14","LGLB","inside"
"flowcyto_10_l03_B7","glutamic acid","10",0.2967,0.2483,"14","LGLB","inside"
"flowcyto_10_l01_D5","glutamic acid","10",0.2896,0.2283,"14","LGLB","inside"
"flowcyto_10_l04_C6","glutamic acid","10",0.2768,0.2637,"14","LGLB","inside"
"flowcyto_10_l03_C10","glutamic acid","10",0.2558,0.2005,"14","LGLB","inside"
